Profiling_ID,Item_ID,Item_Category,Priority_Level,Warehouse_Code,Storage_Zone,Movement_Velocity,Last_Profiled_Date
PROF4000075,ITEM100075,Finished Goods,High,WH_BLR_01,Zone C,Slow Moving,2023-05-30
PROF4000076,ITEM100076,Packaging,Medium,WH_CHN_01,Zone A,Slow Moving,2023-12-16
PROF4000077,ITEM100077,Consumables,Medium,WH_NAG_01,Zone B,Slow Moving,2024-01-22
PROF4000078,ITEM100078,Finished Goods,Medium,WH_MUM_01,Zone B,Slow Moving,2023-05-03
PROF4000079,ITEM100079,Consumables,High,WH_DEL_01,Zone B,Slow Moving,2023-01-17
PROF4000080,ITEM100080,Finished Goods,High,WH_DEL_01,Overflow,Slow Moving,2023-01-12
PROF4000081,ITEM100081,Finished Goods,Medium,WH_DEL_01,Zone C,Slow Moving,2023-11-27
PROF4000082,ITEM100082,Raw Material,Low,WH_BLR_01,Zone C,Slow Moving,2023-08-31
PROF4000083,ITEM100083,Raw Material,High,WH_NAG_01,Zone B,Slow Moving,2024-10-06
PROF4000084,ITEM100084,Consumables,High,WH_CHN_01,Zone C,Slow Moving,2024-09-06
PROF4000085,ITEM100085,Packaging,Medium,WH_PUN_01,Zone A,Slow Moving,2023-05-03
PROF4000086,ITEM100086,Spare Parts,High,WH_DEL_01,Zone A,Slow Moving,2024-08-18
PROF4000087,ITEM100087,Raw Material,Medium,WH_PUN_01,Zone A,Slow Moving,2023-01-04
PROF4000088,ITEM100088,Consumables,High,WH_CHN_01,Zone C,Slow Moving,2024-02-07
PROF4000089,ITEM100089,Spare Parts,Medium,WH_NAG_01,Zone B,Slow Moving,2024-12-21
PROF4000090,ITEM100090,Consumables,Medium,WH_CHN_01,Zone B,Slow Moving,2024-08-04
PROF4000091,ITEM100091,Packaging,Medium,WH_NAG_01,Zone C,Slow Moving,2023-10-15
PROF4000092,ITEM100092,Finished Goods,Low,WH_MUM_01,Overflow,Slow Moving,2023-02-23
PROF4000093,ITEM100093,Raw Material,High,WH_MUM_01,Zone B,Slow Moving,2023-05-31
PROF4000094,ITEM100094,Spare Parts,Low,WH_CHN_01,Zone B,Slow Moving,2024-12-30
PROF4000095,ITEM100095,Finished Goods,Low,WH_DEL_01,Zone B,Slow Moving,2023-05-25
PROF4000096,ITEM100096,Finished Goods,Low,WH_DEL_01,Zone C,Slow Moving,2024-02-08
PROF4000097,ITEM100097,Spare Parts,High,WH_PUN_01,Zone B,Slow Moving,2024-12-21
PROF4000098,ITEM100098,Packaging,High,WH_CHN_01,Overflow,Slow Moving,2024-03-22
PROF4000099,ITEM100099,Finished Goods,Medium,WH_PUN_01,Zone B,Slow Moving,2023-11-11
PROF4000100,ITEM100100,Raw Material,High,WH_NAG_01,Zone C,Slow Moving,2024-07-25
PROF4000101,ITEM100101,Raw Material,Medium,WH_BLR_01,Zone A,Slow Moving,2023-06-20
PROF4000102,ITEM100102,Finished Goods,Medium,WH_PUN_01,Zone C,Slow Moving,2023-01-10
PROF4000103,ITEM100103,Packaging,Low,WH_NAG_01,Zone A,Slow Moving,2023-09-25
PROF4000104,ITEM100104,Consumables,High,WH_DEL_01,Zone A,Slow Moving,2023-04-30
PROF4000105,ITEM100105,Finished Goods,Medium,WH_MUM_01,Zone B,Slow Moving,2024-03-15
PROF4000106,ITEM100106,Finished Goods,Medium,WH_PUN_01,Zone B,Slow Moving,2023-09-08
PROF4000107,ITEM100107,Finished Goods,Medium,WH_DEL_01,Zone C,Slow Moving,2023-04-02
PROF4000108,ITEM100108,Finished Goods,High,WH_DEL_01,Zone A,Slow Moving,2024-11-01
PROF4000109,ITEM100109,Raw Material,Medium,WH_MUM_01,Zone C,Slow Moving,2023-08-14
PROF4000110,ITEM100110,Raw Material,Medium,WH_PUN_01,Zone C,Slow Moving,2023-11-20
PROF4000111,ITEM100111,Packaging,Medium,WH_MUM_01,Zone A,Slow Moving,2023-02-07
PROF4000112,ITEM100112,Raw Material,Medium,WH_NAG_01,Zone A,Slow Moving,2024-02-11
PROF4000113,ITEM100113,Finished Goods,Medium,WH_MUM_01,Zone B,Slow Moving,2024-07-09
PROF4000114,ITEM100114,Raw Material,Medium,WH_DEL_01,Zone A,Slow Moving,2023-02-20
PROF4000115,ITEM100115,Packaging,High,WH_DEL_01,Zone A,Slow Moving,2024-04-27
PROF4000116,ITEM100116,Spare Parts,High,WH_BLR_01,Zone A,Slow Moving,2024-07-13
PROF4000117,ITEM100117,Packaging,High,WH_MUM_01,Zone B,Slow Moving,2023-01-26
PROF4000118,ITEM100118,Packaging,High,WH_BLR_01,Zone B,Slow Moving,2024-09-29
PROF4000119,ITEM100119,Finished Goods,High,WH_BLR_01,Overflow,Slow Moving,2023-04-23
PROF4000120,ITEM100120,Packaging,Medium,WH_CHN_01,Zone B,Slow Moving,2023-11-10
PROF4000121,ITEM100121,Finished Goods,Medium,WH_NAG_01,Zone B,Slow Moving,2024-01-25
PROF4000122,ITEM100122,Finished Goods,Medium,WH_NAG_01,Zone B,Slow Moving,2024-12-19
PROF4000123,ITEM100123,Finished Goods,Medium,WH_DEL_01,Zone B,Slow Moving,2024-05-26
PROF4000124,ITEM100124,Packaging,Medium,WH_DEL_01,Overflow,Slow Moving,2024-10-13
PROF4000125,ITEM100125,Finished Goods,High,WH_BLR_01,Zone A,Slow Moving,2024-04-10
PROF4000126,ITEM100126,Finished Goods,High,WH_BLR_01,Zone B,Slow Moving,2023-10-28
PROF4000127,ITEM100127,Packaging,High,WH_MUM_01,Zone B,Slow Moving,2023-02-19
PROF4000128,ITEM100128,Raw Material,Low,WH_MUM_01,Overflow,Slow Moving,2024-07-20
PROF4000129,ITEM100129,Spare Parts,Medium,WH_BLR_01,Overflow,Slow Moving,2024-10-12
PROF4000130,ITEM100130,Consumables,Medium,WH_MUM_01,Zone C,Slow Moving,2024-02-24
PROF4000131,ITEM100131,Spare Parts,Medium,WH_CHN_01,Zone A,Slow Moving,2023-11-23
PROF4000132,ITEM100132,Finished Goods,Medium,WH_DEL_01,Zone B,Slow Moving,2023-11-05
PROF4000133,ITEM100133,Consumables,Medium,WH_MUM_01,Zone C,Slow Moving,2024-10-13
PROF4000134,ITEM100134,Finished Goods,High,WH_DEL_01,Zone C,Slow Moving,2023-03-01
PROF4000135,ITEM100135,Consumables,High,WH_DEL_01,Zone A,Slow Moving,2023-02-10
PROF4000136,ITEM100136,Raw Material,High,WH_BLR_01,Zone B,Slow Moving,2024-12-06
PROF4000137,ITEM100137,Finished Goods,Medium,WH_BLR_01,Zone B,Slow Moving,2023-06-19
PROF4000138,ITEM100138,Raw Material,Medium,WH_MUM_01,Zone B,Slow Moving,2023-07-10
PROF4000139,ITEM100139,Finished Goods,Low,WH_CHN_01,Zone A,Slow Moving,2024-09-05
PROF4000140,ITEM100140,Consumables,Low,WH_DEL_01,Zone B,Slow Moving,2024-12-11
PROF4000141,ITEM100141,Raw Material,Low,WH_PUN_01,Zone A,Slow Moving,2023-06-19
PROF4000142,ITEM100142,Finished Goods,High,WH_DEL_01,Zone A,Slow Moving,2024-09-22
PROF4000143,ITEM100143,Finished Goods,Medium,WH_CHN_01,Zone B,Slow Moving,2024-11-12
PROF4000144,ITEM100144,Consumables,Medium,WH_PUN_01,Zone A,Slow Moving,2024-05-23
PROF4000145,ITEM100145,Raw Material,Medium,WH_DEL_01,Zone C,Slow Moving,2023-03-02
PROF4000146,ITEM100146,Packaging,Medium,WH_CHN_01,Zone B,Slow Moving,2023-03-02
PROF4000147,ITEM100147,Raw Material,Medium,WH_MUM_01,Zone B,Slow Moving,2024-09-04
PROF4000148,ITEM100148,Packaging,Low,WH_BLR_01,Zone C,Slow Moving,2023-05-13
PROF4000149,ITEM100149,Packaging,Medium,WH_CHN_01,Zone A,Slow Moving,2023-08-15
PROF4000150,ITEM100150,Raw Material,Low,WH_BLR_01,Zone C,Slow Moving,2024-03-27
PROF4000151,ITEM100151,Finished Goods,High,WH_MUM_01,Zone A,Slow Moving,2023-01-09
PROF4000152,ITEM100152,Finished Goods,Medium,WH_DEL_01,Zone A,Slow Moving,2024-05-02
PROF4000153,ITEM100153,Consumables,Medium,WH_MUM_01,Zone B,Slow Moving,2024-09-17
PROF4000154,ITEM100154,Finished Goods,High,WH_MUM_01,Zone A,Slow Moving,2024-10-03
PROF4000155,ITEM100155,Spare Parts,Medium,WH_PUN_01,Zone C,Slow Moving,2024-11-13
PROF4000156,ITEM100156,Spare Parts,Medium,WH_PUN_01,Zone C,Slow Moving,2023-02-28
PROF4000157,ITEM100157,Raw Material,High,WH_NAG_01,Overflow,Slow Moving,2024-08-13
PROF4000158,ITEM100158,Consumables,Low,WH_PUN_01,Zone C,Slow Moving,2023-07-12
PROF4000159,ITEM100159,Finished Goods,High,WH_NAG_01,Overflow,Slow Moving,2024-06-29
PROF4000160,ITEM100160,Raw Material,High,WH_PUN_01,Overflow,Slow Moving,2024-10-07
PROF4000161,ITEM100161,Finished Goods,High,WH_CHN_01,Zone B,Slow Moving,2023-01-27
PROF4000162,ITEM100162,Raw Material,Low,WH_MUM_01,Zone A,Slow Moving,2023-02-07
PROF4000163,ITEM100163,Raw Material,Medium,WH_NAG_01,Zone C,Slow Moving,2023-03-24
PROF4000164,ITEM100164,Raw Material,High,WH_PUN_01,Zone A,Slow Moving,2023-10-30
PROF4000165,ITEM100165,Spare Parts,Medium,WH_DEL_01,Zone A,Slow Moving,2023-08-22
PROF4000166,ITEM100166,Raw Material,Low,WH_NAG_01,Zone A,Slow Moving,2024-04-02
PROF4000167,ITEM100167,Finished Goods,Low,WH_MUM_01,Zone A,Slow Moving,2024-11-06
PROF4000168,ITEM100168,Raw Material,Medium,WH_BLR_01,Zone B,Slow Moving,2023-11-01
PROF4000169,ITEM100169,Spare Parts,High,WH_MUM_01,Zone B,Slow Moving,2024-06-19
PROF4000170,ITEM100170,Finished Goods,High,WH_DEL_01,Zone A,Slow Moving,2024-08-25
PROF4000171,ITEM100171,Packaging,Low,WH_CHN_01,Zone B,Slow Moving,2023-01-09
PROF4000172,ITEM100172,Spare Parts,Medium,WH_MUM_01,Zone C,Slow Moving,2024-05-11
PROF4000173,ITEM100173,Raw Material,Low,WH_DEL_01,Zone A,Slow Moving,2024-08-03
PROF4000174,ITEM100174,Raw Material,High,WH_BLR_01,Zone A,Slow Moving,2023-03-04
PROF4000175,ITEM100175,Raw Material,Medium,WH_CHN_01,Zone A,Slow Moving,2024-02-07
PROF4000176,ITEM100176,Raw Material,Medium,WH_CHN_01,Zone B,Slow Moving,2024-12-19
PROF4000177,ITEM100177,Raw Material,Medium,WH_DEL_01,Zone A,Slow Moving,2024-10-16
PROF4000178,ITEM100178,Consumables,Medium,WH_PUN_01,Zone B,Slow Moving,2023-03-13
PROF4000179,ITEM100179,Packaging,Medium,WH_PUN_01,Zone B,Slow Moving,2023-12-05
PROF4000180,ITEM100180,Finished Goods,High,WH_PUN_01,Zone C,Slow Moving,2024-11-11
PROF4000181,ITEM100181,Packaging,High,WH_CHN_01,Zone C,Slow Moving,2024-05-11
PROF4000182,ITEM100182,Finished Goods,High,WH_DEL_01,Zone B,Slow Moving,2024-07-15
PROF4000183,ITEM100183,Finished Goods,Medium,WH_PUN_01,Zone A,Slow Moving,2023-01-06
PROF4000184,ITEM100184,Spare Parts,Low,WH_DEL_01,Zone B,Slow Moving,2024-06-25
PROF4000185,ITEM100185,Raw Material,Medium,WH_BLR_01,Zone C,Slow Moving,2024-02-10
PROF4000186,ITEM100186,Raw Material,High,WH_NAG_01,Overflow,Slow Moving,2024-11-24
PROF4000187,ITEM100187,Consumables,Low,WH_NAG_01,Zone B,Slow Moving,2023-05-28
PROF4000188,ITEM100188,Raw Material,High,WH_BLR_01,Zone B,Slow Moving,2024-09-09
PROF4000189,ITEM100189,Raw Material,Low,WH_BLR_01,Zone C,Slow Moving,2023-03-01
PROF4000190,ITEM100190,Finished Goods,Low,WH_MUM_01,Zone A,Slow Moving,2023-02-19
PROF4000191,ITEM100191,Consumables,High,WH_BLR_01,Zone A,Slow Moving,2023-08-27
PROF4000192,ITEM100192,Raw Material,Medium,WH_PUN_01,Zone A,Slow Moving,2023-09-10
PROF4000193,ITEM100193,Finished Goods,High,WH_BLR_01,Zone C,Slow Moving,2023-03-10
PROF4000194,ITEM100194,Consumables,High,WH_DEL_01,Zone C,Slow Moving,2023-04-12
PROF4000195,ITEM100195,Consumables,Low,WH_PUN_01,Zone C,Slow Moving,2023-01-16
PROF4000196,ITEM100196,Raw Material,High,WH_CHN_01,Overflow,Slow Moving,2024-08-09
PROF4000197,ITEM100197,Finished Goods,Low,WH_MUM_01,Zone A,Slow Moving,2024-06-19
PROF4000198,ITEM100198,Finished Goods,High,WH_BLR_01,Overflow,Slow Moving,2023-10-29
PROF4000199,ITEM100199,Consumables,High,WH_PUN_01,Zone C,Slow Moving,2024-10-29
PROF4000200,ITEM100200,Packaging,Medium,WH_CHN_01,Zone A,Slow Moving,2024-06-23
PROF4000201,ITEM100201,Packaging,High,WH_PUN_01,Zone C,Slow Moving,2024-12-10
PROF4000202,ITEM100202,Finished Goods,Low,WH_CHN_01,Zone A,Slow Moving,2024-05-20
PROF4000203,ITEM100203,Finished Goods,High,WH_PUN_01,Zone A,Slow Moving,2024-05-13
PROF4000204,ITEM100204,Raw Material,High,WH_CHN_01,Zone A,Slow Moving,2023-12-28
PROF4000205,ITEM100205,Finished Goods,Medium,WH_NAG_01,Zone B,Slow Moving,2024-04-16
PROF4000206,ITEM100206,Consumables,High,WH_DEL_01,Zone B,Slow Moving,2023-03-18
PROF4000207,ITEM100207,Finished Goods,Medium,WH_MUM_01,Zone A,Slow Moving,2023-01-27
PROF4000208,ITEM100208,Finished Goods,Medium,WH_PUN_01,Zone A,Slow Moving,2023-12-31
PROF4000209,ITEM100209,Raw Material,High,WH_MUM_01,Zone B,Slow Moving,2023-02-25
PROF4000210,ITEM100210,Raw Material,Medium,WH_BLR_01,Zone C,Slow Moving,2024-10-04
PROF4000211,ITEM100211,Consumables,Medium,WH_PUN_01,Zone C,Slow Moving,2023-05-27
PROF4000212,ITEM100212,Finished Goods,Low,WH_MUM_01,Zone C,Slow Moving,2024-07-20
PROF4000213,ITEM100213,Spare Parts,Medium,WH_PUN_01,Zone A,Slow Moving,2023-07-21
PROF4000214,ITEM100214,Spare Parts,Medium,WH_DEL_01,Zone B,Slow Moving,2024-07-01
PROF4000215,ITEM100215,Raw Material,Medium,WH_DEL_01,Zone C,Slow Moving,2024-04-11
PROF4000216,ITEM100216,Raw Material,Medium,WH_MUM_01,Zone A,Slow Moving,2023-10-26
PROF4000217,ITEM100217,Raw Material,Low,WH_NAG_01,Zone B,Slow Moving,2024-11-06
PROF4000218,ITEM100218,Raw Material,Medium,WH_NAG_01,Zone C,Slow Moving,2023-07-04
PROF4000219,ITEM100219,Finished Goods,Medium,WH_MUM_01,Zone B,Slow Moving,2023-07-07
PROF4000220,ITEM100220,Packaging,High,WH_PUN_01,Zone A,Slow Moving,2024-02-23
PROF4000221,ITEM100221,Finished Goods,High,WH_DEL_01,Overflow,Slow Moving,2024-03-01
PROF4000222,ITEM100222,Consumables,High,WH_BLR_01,Zone A,Slow Moving,2023-09-22
PROF4000223,ITEM100223,Spare Parts,Medium,WH_CHN_01,Zone B,Slow Moving,2024-12-22
PROF4000224,ITEM100224,Raw Material,Low,WH_CHN_01,Zone A,Slow Moving,2023-09-22
PROF4000225,ITEM100225,Finished Goods,High,WH_DEL_01,Zone B,Slow Moving,2023-01-30
PROF4000226,ITEM100226,Packaging,Low,WH_NAG_01,Zone B,Slow Moving,2024-03-12
PROF4000227,ITEM100227,Raw Material,Low,WH_CHN_01,Zone C,Slow Moving,2024-01-22
PROF4000228,ITEM100228,Raw Material,Medium,WH_BLR_01,Zone A,Slow Moving,2024-05-26
PROF4000229,ITEM100229,Raw Material,High,WH_MUM_01,Zone B,Slow Moving,2023-08-13
PROF4000230,ITEM100230,Finished Goods,Medium,WH_PUN_01,Zone C,Slow Moving,2023-01-02
PROF4000231,ITEM100231,Spare Parts,Medium,WH_NAG_01,Zone A,Slow Moving,2023-05-17
PROF4000232,ITEM100232,Packaging,High,WH_PUN_01,Zone C,Slow Moving,2024-09-10
PROF4000233,ITEM100233,Finished Goods,Low,WH_PUN_01,Zone C,Slow Moving,2024-04-05
PROF4000234,ITEM100234,Raw Material,Medium,WH_NAG_01,Zone B,Slow Moving,2023-06-12
PROF4000235,ITEM100235,Packaging,Medium,WH_PUN_01,Zone C,Slow Moving,2024-09-27
PROF4000236,ITEM100236,Packaging,High,WH_CHN_01,Zone A,Slow Moving,2024-04-17
PROF4000237,ITEM100237,Finished Goods,Medium,WH_BLR_01,Zone A,Slow Moving,2024-07-03
PROF4000238,ITEM100238,Finished Goods,Medium,WH_BLR_01,Zone A,Slow Moving,2023-01-29
PROF4000239,ITEM100239,Spare Parts,Medium,WH_DEL_01,Zone B,Slow Moving,2023-11-14
PROF4000240,ITEM100240,Raw Material,Medium,WH_BLR_01,Zone B,Slow Moving,2024-04-30
PROF4000241,ITEM100241,Spare Parts,High,WH_MUM_01,Zone A,Slow Moving,2023-08-12
PROF4000242,ITEM100242,Spare Parts,Low,WH_NAG_01,Zone B,Slow Moving,2023-11-02
PROF4000243,ITEM100243,Packaging,Medium,WH_DEL_01,Zone C,Slow Moving,2024-11-07
PROF4000244,ITEM100244,Finished Goods,Medium,WH_MUM_01,Zone A,Slow Moving,2024-09-23
PROF4000245,ITEM100245,Packaging,Low,WH_CHN_01,Zone C,Slow Moving,2024-01-10
PROF4000246,ITEM100246,Consumables,Medium,WH_MUM_01,Zone B,Slow Moving,2023-10-09
PROF4000247,ITEM100247,Finished Goods,High,WH_MUM_01,Zone A,Slow Moving,2023-01-21
PROF4000248,ITEM100248,Finished Goods,High,WH_DEL_01,Zone C,Slow Moving,2024-10-20
PROF4000249,ITEM100249,Consumables,High,WH_NAG_01,Overflow,Slow Moving,2023-06-09
PROF4000250,ITEM100250,Raw Material,High,WH_NAG_01,Zone B,Slow Moving,2024-12-07
PROF4000251,ITEM100251,Raw Material,Medium,WH_CHN_01,Zone C,Slow Moving,2023-03-20
PROF4000252,ITEM100252,Packaging,Medium,WH_MUM_01,Zone A,Slow Moving,2023-10-07
PROF4000253,ITEM100253,Packaging,Low,WH_CHN_01,Zone C,Slow Moving,2024-08-17
PROF4000254,ITEM100254,Finished Goods,Medium,WH_BLR_01,Overflow,Slow Moving,2023-05-11
PROF4000255,ITEM100255,Finished Goods,Medium,WH_CHN_01,Zone C,Slow Moving,2024-08-22
PROF4000256,ITEM100256,Consumables,Medium,WH_MUM_01,Zone B,Slow Moving,2023-09-19
PROF4000257,ITEM100257,Packaging,Medium,WH_MUM_01,Zone A,Slow Moving,2024-07-22
PROF4000258,ITEM100258,Finished Goods,Medium,WH_PUN_01,Zone B,Slow Moving,2024-06-04
PROF4000259,ITEM100259,Finished Goods,Medium,WH_BLR_01,Zone C,Slow Moving,2023-04-24
PROF4000260,ITEM100260,Raw Material,High,WH_BLR_01,Zone B,Slow Moving,2024-05-15
PROF4000261,ITEM100261,Raw Material,Medium,WH_PUN_01,Zone B,Slow Moving,2023-05-16
PROF4000262,ITEM100262,Finished Goods,Medium,WH_MUM_01,Zone C,Slow Moving,2024-08-22
PROF4000263,ITEM100263,Packaging,Medium,WH_NAG_01,Overflow,Slow Moving,2023-04-23
PROF4000264,ITEM100264,Raw Material,High,WH_NAG_01,Zone C,Slow Moving,2023-11-15
PROF4000265,ITEM100265,Raw Material,Low,WH_BLR_01,Zone A,Slow Moving,2024-09-05
PROF4000266,ITEM100266,Packaging,Low,WH_BLR_01,Zone C,Slow Moving,2023-09-02
PROF4000267,ITEM100267,Finished Goods,Medium,WH_BLR_01,Zone A,Slow Moving,2023-06-06
PROF4000268,ITEM100268,Raw Material,Medium,WH_CHN_01,Zone B,Slow Moving,2024-08-06
PROF4000269,ITEM100269,Finished Goods,Medium,WH_PUN_01,Zone C,Slow Moving,2024-11-04
