Discrepancy_ID,Movement_ID,Item_ID,Warehouse_Code,Discrepancy_Date,Expected_Quantity,Actual_Quantity,Variance_Quantity,Discrepancy_Type,Root_Cause,Resolution_Status
DISC6000017,MOV3000105,ITEM112307,WH_BLR_01,12-04-23,4,3,-1,Count Error,Vendor short supply,Resolved
DISC6000018,MOV3000116,ITEM134060,WH_NAG_01,15-03-23,27,32,5,Wrong Item,Wrong bin placement,Adjusted
DISC6000019,MOV3000121,ITEM113972,WH_NAG_01,28-11-23,22,31,9,Shortage,Manual counting error,Resolved
DISC6000020,MOV3000144,ITEM120801,WH_DEL_01,26-07-24,22,12,-10,Damage,System posting delay,Under Investigation
DISC6000021,MOV3000145,ITEM100568,WH_BLR_01,30-01-21,13,4,-9,Damage,Documentation missing,Resolved
DISC6000022,MOV3000150,ITEM129411,WH_MUM_01,05-09-22,5,0,-5,Wrong Item,System posting delay,Resolved
DISC6000023,MOV3000153,ITEM129939,WH_NAG_01,10-08-23,12,5,-7,Shortage,System posting delay,Under Investigation
DISC6000024,MOV3000155,ITEM127592,WH_MUM_01,03-05-21,22,29,7,Count Error,System posting delay,Resolved
DISC6000025,MOV3000182,ITEM128611,WH_BLR_01,12-01-22,15,9,-6,Excess,Manual counting error,Under Investigation
DISC6000026,MOV3000186,ITEM131081,WH_CHN_01,12-01-21,22,20,-2,Wrong Item,Handling damage,Adjusted
DISC6000027,MOV3000202,ITEM107471,WH_MUM_01,13-12-22,22,28,6,Excess,Vendor short supply,Adjusted
DISC6000028,MOV3000208,ITEM114661,WH_NAG_01,16-01-24,13,22,9,Damage,Handling damage,Resolved
DISC6000029,MOV3000211,ITEM112103,WH_PUN_01,02-12-23,5,8,3,Shortage,Vendor short supply,Adjusted
DISC6000030,MOV3000222,ITEM131596,WH_CHN_01,05-07-22,14,6,-8,Excess,Manual counting error,Resolved
DISC6000031,MOV3000228,ITEM117725,WH_PUN_01,21-09-24,4,1,-3,Shortage,Wrong bin placement,Under Investigation
DISC6000032,MOV3000233,ITEM110391,WH_MUM_01,02-08-22,25,22,-3,Count Error,Wrong bin placement,Open
DISC6000033,MOV3000260,ITEM100642,WH_CHN_01,05-09-24,29,33,4,Damage,System posting delay,Under Investigation
DISC6000034,MOV3000261,ITEM125054,WH_CHN_01,13-03-22,23,19,-4,Damage,Handling damage,Adjusted
DISC6000035,MOV3000264,ITEM137850,WH_NAG_01,27-09-22,19,18,-1,Count Error,Manual counting error,Resolved
DISC6000036,MOV3000267,ITEM113793,WH_DEL_01,08-12-23,35,32,-3,Wrong Item,Documentation missing,Resolved
DISC6000037,MOV3000283,ITEM135231,WH_DEL_01,20-03-23,23,17,-6,Damage,Documentation missing,Adjusted
DISC6000038,MOV3000298,ITEM131764,WH_CHN_01,17-07-22,25,17,-8,Wrong Item,Handling damage,Open
DISC6000039,MOV3000305,ITEM112003,WH_CHN_01,11-07-23,20,10,-10,Wrong Item,System posting delay,Adjusted
DISC6000040,MOV3000325,ITEM133113,WH_PUN_01,12-08-21,36,26,-10,Wrong Item,Documentation missing,Resolved
DISC6000041,MOV3000328,ITEM135767,WH_BLR_01,23-02-21,33,27,-6,Excess,Handling damage,Open
DISC6000042,MOV3000334,ITEM114136,WH_PUN_01,02-09-21,18,26,8,Count Error,Vendor short supply,Open
DISC6000043,MOV3000343,ITEM100693,WH_DEL_01,05-09-22,19,17,-2,Count Error,Wrong bin placement,Adjusted
DISC6000044,MOV3000345,ITEM128425,WH_DEL_01,29-12-23,22,14,-8,Wrong Item,System posting delay,Open
DISC6000045,MOV3000359,ITEM105430,WH_PUN_01,29-06-23,4,6,2,Wrong Item,Vendor short supply,Adjusted
DISC6000046,MOV3000383,ITEM102415,WH_BLR_01,24-07-23,23,27,4,Damage,Wrong bin placement,Under Investigation
DISC6000047,MOV3000384,ITEM103141,WH_BLR_01,19-08-23,25,17,-8,Damage,Documentation missing,Resolved
DISC6000048,MOV3000392,ITEM127454,WH_CHN_01,20-11-22,8,1,-7,Excess,Handling damage,Under Investigation
DISC6000049,MOV3000404,ITEM128607,WH_CHN_01,27-11-24,31,37,6,Count Error,Manual counting error,Resolved
DISC6000050,MOV3000418,ITEM129821,WH_CHN_01,26-10-22,32,40,8,Excess,Documentation missing,Resolved
DISC6000051,MOV3000433,ITEM133883,WH_NAG_01,08-10-22,27,34,7,Shortage,Wrong bin placement,Open
DISC6000052,MOV3000444,ITEM130122,WH_BLR_01,03-01-24,36,33,-3,Excess,System posting delay,Under Investigation
DISC6000053,MOV3000447,ITEM112417,WH_CHN_01,05-06-23,31,29,-2,Excess,Documentation missing,Resolved
DISC6000054,MOV3000450,ITEM134759,WH_NAG_01,27-02-24,14,19,5,Count Error,Documentation missing,Open
DISC6000055,MOV3000454,ITEM128495,WH_PUN_01,01-08-23,31,30,-1,Excess,Manual counting error,Open
DISC6000056,MOV3000463,ITEM116687,WH_DEL_01,11-05-24,21,22,1,Wrong Item,Manual counting error,Resolved
DISC6000057,MOV3000471,ITEM107320,WH_DEL_01,31-07-24,23,30,7,Count Error,Handling damage,Adjusted
DISC6000058,MOV3000482,ITEM127068,WH_BLR_01,20-10-23,22,21,-1,Count Error,Handling damage,Open
DISC6000059,MOV3000490,ITEM121319,WH_PUN_01,21-10-22,6,10,4,Shortage,Vendor short supply,Resolved
DISC6000060,MOV3000493,ITEM103163,WH_BLR_01,09-12-23,24,17,-7,Shortage,Wrong bin placement,Resolved
DISC6000061,MOV3000510,ITEM132000,WH_MUM_01,04-11-22,2,0,-2,Damage,Vendor short supply,Under Investigation
DISC6000062,MOV3000513,ITEM130615,WH_BLR_01,23-06-21,11,6,-5,Count Error,Vendor short supply,Resolved
DISC6000063,MOV3000526,ITEM116580,WH_NAG_01,18-07-22,17,12,-5,Count Error,Handling damage,Resolved
DISC6000064,MOV3000536,ITEM115431,WH_PUN_01,12-06-24,16,11,-5,Wrong Item,Wrong bin placement,Under Investigation
DISC6000065,MOV3000543,ITEM122150,WH_PUN_01,28-12-22,16,14,-2,Count Error,Manual counting error,Under Investigation
DISC6000066,MOV3000566,ITEM100120,WH_CHN_01,28-06-24,18,11,-7,Damage,System posting delay,Resolved
DISC6000067,MOV3000576,ITEM116589,WH_CHN_01,21-01-22,22,22,0,Wrong Item,Handling damage,Resolved
DISC6000068,MOV3000586,ITEM134476,WH_DEL_01,28-11-23,12,10,-2,Damage,Documentation missing,Under Investigation
DISC6000069,MOV3000600,ITEM132267,WH_CHN_01,11-08-22,42,49,7,Count Error,Wrong bin placement,Open
DISC6000070,MOV3000623,ITEM115581,WH_MUM_01,15-05-21,8,15,7,Count Error,Handling damage,Resolved
DISC6000071,MOV3000628,ITEM104036,WH_PUN_01,02-02-23,53,50,-3,Wrong Item,Vendor short supply,Open
DISC6000072,MOV3000636,ITEM133429,WH_NAG_01,27-08-21,34,36,2,Shortage,Handling damage,Adjusted
DISC6000073,MOV3000640,ITEM122172,WH_DEL_01,13-05-23,21,19,-2,Excess,Documentation missing,Adjusted
DISC6000074,MOV3000642,ITEM107855,WH_BLR_01,17-10-23,13,5,-8,Excess,Handling damage,Adjusted
DISC6000075,MOV3000643,ITEM121167,WH_PUN_01,27-12-23,26,21,-5,Shortage,Wrong bin placement,Resolved
DISC6000076,MOV3000644,ITEM126357,WH_NAG_01,27-07-23,1,0,-1,Damage,Documentation missing,Open
DISC6000077,MOV3000648,ITEM105421,WH_CHN_01,11-03-22,28,19,-9,Shortage,Documentation missing,Resolved
DISC6000078,MOV3000662,ITEM133937,WH_DEL_01,25-05-24,21,24,3,Damage,Manual counting error,Resolved
DISC6000079,MOV3000668,ITEM112064,WH_BLR_01,12-08-21,24,14,-10,Shortage,System posting delay,Resolved
DISC6000080,MOV3000669,ITEM138970,WH_NAG_01,08-01-21,38,43,5,Count Error,Handling damage,Adjusted
DISC6000081,MOV3000689,ITEM133251,WH_CHN_01,01-11-24,30,39,9,Wrong Item,Manual counting error,Adjusted
DISC6000082,MOV3000692,ITEM104967,WH_PUN_01,26-01-24,17,16,-1,Wrong Item,Wrong bin placement,Adjusted
DISC6000083,MOV3000694,ITEM110722,WH_NAG_01,26-05-23,20,20,0,Excess,Vendor short supply,Open
DISC6000084,MOV3000704,ITEM136510,WH_NAG_01,07-11-22,17,9,-8,Count Error,System posting delay,Resolved
DISC6000085,MOV3000710,ITEM122597,WH_PUN_01,12-07-22,22,22,0,Count Error,Handling damage,Under Investigation
DISC6000086,MOV3000718,ITEM112834,WH_MUM_01,14-08-22,28,35,7,Count Error,Wrong bin placement,Resolved
DISC6000087,MOV3000734,ITEM107151,WH_DEL_01,27-02-24,29,26,-3,Excess,Wrong bin placement,Resolved
DISC6000088,MOV3000736,ITEM112579,WH_BLR_01,03-12-24,15,17,2,Wrong Item,Wrong bin placement,Adjusted
DISC6000089,MOV3000740,ITEM124129,WH_PUN_01,11-05-22,50,42,-8,Excess,System posting delay,Resolved
DISC6000090,MOV3000754,ITEM110448,WH_BLR_01,18-05-23,24,19,-5,Count Error,Documentation missing,Resolved
DISC6000091,MOV3000761,ITEM126335,WH_MUM_01,12-12-21,33,35,2,Shortage,Manual counting error,Resolved
DISC6000092,MOV3000764,ITEM117271,WH_CHN_01,12-05-24,35,30,-5,Damage,Documentation missing,Resolved
DISC6000093,MOV3000766,ITEM107782,WH_PUN_01,03-06-23,13,20,7,Damage,Wrong bin placement,Adjusted
DISC6000094,MOV3000780,ITEM118246,WH_MUM_01,23-10-23,15,8,-7,Excess,Manual counting error,Open
DISC6000095,MOV3000787,ITEM135967,WH_PUN_01,23-11-22,12,7,-5,Count Error,Wrong bin placement,Resolved
DISC6000096,MOV3000792,ITEM138187,WH_NAG_01,20-12-24,22,27,5,Shortage,System posting delay,Under Investigation
DISC6000097,MOV3000797,ITEM112679,WH_DEL_01,28-07-24,27,35,8,Wrong Item,Wrong bin placement,Resolved
DISC6000098,MOV3000799,ITEM115120,WH_CHN_01,25-01-22,22,12,-10,Wrong Item,Manual counting error,Open
DISC6000099,MOV3000802,ITEM131007,WH_MUM_01,25-06-22,20,26,6,Wrong Item,Wrong bin placement,Resolved
DISC6000100,MOV3000806,ITEM114734,WH_DEL_01,10-07-21,24,24,0,Shortage,Vendor short supply,Open
DISC6000101,MOV3000818,ITEM131466,WH_NAG_01,01-10-21,19,28,9,Shortage,Manual counting error,Adjusted
DISC6000102,MOV3000823,ITEM103803,WH_NAG_01,05-01-22,27,27,0,Wrong Item,System posting delay,Under Investigation
DISC6000103,MOV3000824,ITEM114491,WH_BLR_01,07-08-22,13,12,-1,Count Error,Documentation missing,Resolved
DISC6000104,MOV3000849,ITEM109401,WH_DEL_01,14-05-21,1,7,6,Wrong Item,Vendor short supply,Adjusted
DISC6000105,MOV3000856,ITEM134863,WH_DEL_01,25-01-22,20,26,6,Count Error,Documentation missing,Open
DISC6000106,MOV3000858,ITEM123747,WH_MUM_01,03-03-22,12,17,5,Shortage,Vendor short supply,Under Investigation
DISC6000107,MOV3000863,ITEM117681,WH_BLR_01,04-09-21,22,22,0,Damage,Documentation missing,Adjusted
DISC6000108,MOV3000870,ITEM125218,WH_BLR_01,19-08-22,13,20,7,Wrong Item,Handling damage,Resolved
DISC6000109,MOV3000915,ITEM127424,WH_PUN_01,15-05-21,4,2,-2,Wrong Item,Vendor short supply,Resolved
DISC6000110,MOV3000920,ITEM136255,WH_BLR_01,10-05-21,9,2,-7,Count Error,Documentation missing,Under Investigation
DISC6000111,MOV3000929,ITEM112037,WH_CHN_01,08-07-22,17,9,-8,Shortage,Wrong bin placement,Under Investigation
DISC6000112,MOV3000937,ITEM121758,WH_MUM_01,20-03-23,25,15,-10,Wrong Item,System posting delay,Open
DISC6000113,MOV3000942,ITEM123682,WH_NAG_01,09-02-21,32,40,8,Damage,Wrong bin placement,Under Investigation
DISC6000114,MOV3000947,ITEM135916,WH_PUN_01,29-06-21,13,8,-5,Excess,Wrong bin placement,Open
DISC6000115,MOV3000958,ITEM109126,WH_BLR_01,01-07-23,26,28,2,Excess,Vendor short supply,Resolved
DISC6000116,MOV3000959,ITEM102796,WH_BLR_01,13-06-24,34,28,-6,Count Error,System posting delay,Open
DISC6000117,MOV3000973,ITEM102481,WH_DEL_01,27-10-23,21,24,3,Count Error,Handling damage,Open
DISC6000118,MOV3000982,ITEM137374,WH_BLR_01,16-03-24,9,11,2,Count Error,System posting delay,Open
DISC6000119,MOV3000988,ITEM109475,WH_CHN_01,01-10-24,31,25,-6,Shortage,Manual counting error,Adjusted
DISC6000120,MOV3001004,ITEM112964,WH_PUN_01,01-12-23,29,38,9,Excess,System posting delay,Adjusted
DISC6000121,MOV3001009,ITEM126722,WH_PUN_01,21-02-23,6,0,-6,Wrong Item,Handling damage,Adjusted
DISC6000122,MOV3001018,ITEM101152,WH_DEL_01,15-02-23,2,11,9,Damage,Vendor short supply,Open
DISC6000123,MOV3001032,ITEM111527,WH_CHN_01,30-12-23,29,20,-9,Wrong Item,System posting delay,Resolved
DISC6000124,MOV3001043,ITEM116996,WH_CHN_01,12-04-22,1,7,6,Count Error,Manual counting error,Open
DISC6000125,MOV3001044,ITEM125811,WH_BLR_01,30-01-22,13,17,4,Wrong Item,Manual counting error,Open
DISC6000126,MOV3001058,ITEM108817,WH_MUM_01,16-02-21,21,30,9,Shortage,Wrong bin placement,Adjusted
DISC6000127,MOV3001059,ITEM135259,WH_BLR_01,01-11-21,12,4,-8,Excess,Handling damage,Adjusted
DISC6000128,MOV3001060,ITEM118503,WH_DEL_01,05-03-21,29,37,8,Wrong Item,Handling damage,Open
DISC6000129,MOV3001062,ITEM119707,WH_BLR_01,29-04-24,11,6,-5,Count Error,Documentation missing,Under Investigation
DISC6000130,MOV3001067,ITEM139875,WH_PUN_01,31-12-21,24,16,-8,Wrong Item,Vendor short supply,Adjusted
DISC6000131,MOV3001073,ITEM102073,WH_CHN_01,06-02-21,14,4,-10,Damage,Manual counting error,Adjusted
DISC6000132,MOV3001092,ITEM109769,WH_CHN_01,08-01-24,43,34,-9,Damage,Vendor short supply,Open
DISC6000133,MOV3001104,ITEM111344,WH_NAG_01,11-03-22,26,29,3,Shortage,Handling damage,Resolved
DISC6000134,MOV3001105,ITEM102520,WH_CHN_01,23-02-22,25,22,-3,Excess,Documentation missing,Resolved
DISC6000135,MOV3001118,ITEM107600,WH_PUN_01,04-06-21,24,30,6,Shortage,Manual counting error,Open
DISC6000136,MOV3001125,ITEM108410,WH_NAG_01,12-12-22,21,23,2,Wrong Item,System posting delay,Adjusted
DISC6000137,MOV3001136,ITEM119172,WH_BLR_01,07-11-24,15,9,-6,Wrong Item,Wrong bin placement,Under Investigation
DISC6000138,MOV3001167,ITEM114111,WH_CHN_01,02-10-21,33,30,-3,Damage,Documentation missing,Resolved
DISC6000139,MOV3001181,ITEM127912,WH_CHN_01,29-06-21,20,14,-6,Excess,Documentation missing,Resolved
DISC6000140,MOV3001182,ITEM134148,WH_BLR_01,19-10-22,32,22,-10,Shortage,Documentation missing,Open
DISC6000141,MOV3001195,ITEM112603,WH_DEL_01,29-04-23,31,37,6,Excess,Vendor short supply,Under Investigation
DISC6000142,MOV3001202,ITEM107477,WH_NAG_01,07-05-24,14,8,-6,Shortage,Documentation missing,Under Investigation
DISC6000143,MOV3001204,ITEM110613,WH_PUN_01,05-08-23,19,20,1,Damage,Vendor short supply,Under Investigation
DISC6000144,MOV3001216,ITEM113826,WH_NAG_01,28-06-23,36,28,-8,Damage,Wrong bin placement,Open
DISC6000145,MOV3001233,ITEM118478,WH_CHN_01,01-09-23,18,24,6,Count Error,Documentation missing,Resolved
DISC6000146,MOV3001235,ITEM125752,WH_BLR_01,29-08-23,11,19,8,Shortage,Handling damage,Under Investigation
DISC6000147,MOV3001238,ITEM112260,WH_DEL_01,19-07-23,14,14,0,Wrong Item,System posting delay,Adjusted
DISC6000148,MOV3001241,ITEM136658,WH_CHN_01,22-05-22,26,24,-2,Count Error,Handling damage,Resolved
DISC6000149,MOV3001245,ITEM110056,WH_NAG_01,05-05-22,9,4,-5,Wrong Item,Vendor short supply,Under Investigation
DISC6000150,MOV3001254,ITEM138202,WH_MUM_01,07-05-21,13,12,-1,Wrong Item,Documentation missing,Resolved
DISC6000151,MOV3001260,ITEM129247,WH_DEL_01,25-10-23,4,0,-4,Damage,Vendor short supply,Resolved
DISC6000152,MOV3001262,ITEM101591,WH_DEL_01,31-08-24,35,43,8,Damage,Manual counting error,Resolved
DISC6000153,MOV3001272,ITEM109391,WH_NAG_01,27-03-22,20,21,1,Wrong Item,Handling damage,Resolved
DISC6000154,MOV3001273,ITEM116361,WH_MUM_01,30-10-21,17,22,5,Excess,Manual counting error,Open
DISC6000155,MOV3001326,ITEM125242,WH_BLR_01,08-03-21,21,29,8,Wrong Item,Vendor short supply,Under Investigation
DISC6000156,MOV3001352,ITEM138155,WH_PUN_01,15-02-22,23,18,-5,Excess,Handling damage,Adjusted
DISC6000157,MOV3001359,ITEM128178,WH_BLR_01,19-03-21,24,19,-5,Excess,Wrong bin placement,Under Investigation
DISC6000158,MOV3001363,ITEM125300,WH_MUM_01,15-09-22,14,11,-3,Damage,System posting delay,Under Investigation
DISC6000159,MOV3001373,ITEM133074,WH_DEL_01,13-03-22,1,2,1,Count Error,Vendor short supply,Adjusted
DISC6000160,MOV3001401,ITEM129729,WH_BLR_01,16-07-21,16,15,-1,Wrong Item,Handling damage,Resolved
DISC6000161,MOV3001414,ITEM121264,WH_NAG_01,11-04-21,8,2,-6,Shortage,Documentation missing,Under Investigation
DISC6000162,MOV3001431,ITEM105356,WH_CHN_01,06-01-22,35,43,8,Damage,System posting delay,Resolved
DISC6000163,MOV3001445,ITEM133554,WH_BLR_01,29-11-24,19,24,5,Count Error,Vendor short supply,Open
DISC6000164,MOV3001451,ITEM131174,WH_PUN_01,13-04-22,24,21,-3,Wrong Item,Handling damage,Under Investigation
DISC6000165,MOV3001475,ITEM136266,WH_DEL_01,23-02-21,4,0,-4,Damage,Documentation missing,Resolved
DISC6000166,MOV3001476,ITEM101999,WH_DEL_01,06-03-24,11,16,5,Excess,Vendor short supply,Under Investigation
DISC6000167,MOV3001484,ITEM131097,WH_PUN_01,30-08-22,20,21,1,Damage,Manual counting error,Under Investigation
DISC6000168,MOV3001490,ITEM133307,WH_BLR_01,07-10-24,19,17,-2,Excess,Manual counting error,Open
DISC6000169,MOV3001491,ITEM123740,WH_BLR_01,11-07-23,30,34,4,Count Error,Manual counting error,Resolved
DISC6000170,MOV3001506,ITEM127876,WH_MUM_01,01-05-24,24,27,3,Excess,Handling damage,Adjusted
DISC6000171,MOV3001513,ITEM135487,WH_CHN_01,03-04-23,44,36,-8,Damage,Manual counting error,Under Investigation
DISC6000172,MOV3001520,ITEM105961,WH_CHN_01,06-09-24,14,9,-5,Count Error,Wrong bin placement,Open
DISC6000173,MOV3001548,ITEM120208,WH_CHN_01,31-03-23,6,15,9,Wrong Item,Handling damage,Under Investigation
DISC6000174,MOV3001555,ITEM102293,WH_CHN_01,13-07-23,47,47,0,Excess,Manual counting error,Under Investigation
DISC6000175,MOV3001557,ITEM110024,WH_MUM_01,21-01-23,13,13,0,Wrong Item,Manual counting error,Open
DISC6000176,MOV3001566,ITEM113811,WH_BLR_01,09-08-21,27,25,-2,Excess,Manual counting error,Open
DISC6000177,MOV3001567,ITEM129573,WH_DEL_01,16-09-24,28,20,-8,Count Error,Documentation missing,Open
DISC6000178,MOV3001571,ITEM102246,WH_MUM_01,08-07-24,37,28,-9,Wrong Item,Documentation missing,Resolved
DISC6000179,MOV3001581,ITEM103485,WH_NAG_01,06-03-24,4,0,-4,Count Error,Wrong bin placement,Resolved
DISC6000180,MOV3001599,ITEM100686,WH_PUN_01,09-09-24,10,9,-1,Wrong Item,Vendor short supply,Under Investigation
DISC6000181,MOV3001605,ITEM135685,WH_CHN_01,04-08-24,16,23,7,Count Error,Documentation missing,Resolved
DISC6000182,MOV3001609,ITEM137606,WH_BLR_01,24-05-21,13,19,6,Damage,Wrong bin placement,Resolved
DISC6000183,MOV3001617,ITEM104196,WH_CHN_01,06-10-23,24,21,-3,Damage,Vendor short supply,Under Investigation
DISC6000184,MOV3001640,ITEM122948,WH_CHN_01,22-02-22,25,29,4,Wrong Item,Vendor short supply,Open
DISC6000185,MOV3001647,ITEM108990,WH_MUM_01,29-12-23,22,17,-5,Shortage,Documentation missing,Under Investigation
DISC6000186,MOV3001662,ITEM130754,WH_CHN_01,09-11-22,8,12,4,Shortage,System posting delay,Adjusted
DISC6000187,MOV3001665,ITEM118983,WH_NAG_01,18-11-22,32,24,-8,Count Error,Wrong bin placement,Adjusted
DISC6000188,MOV3001669,ITEM127686,WH_NAG_01,10-09-24,4,0,-4,Shortage,Handling damage,Open
DISC6000189,MOV3001675,ITEM123042,WH_BLR_01,12-03-23,7,10,3,Excess,Wrong bin placement,Adjusted
DISC6000190,MOV3001676,ITEM100432,WH_MUM_01,13-06-21,5,9,4,Damage,System posting delay,Under Investigation
DISC6000191,MOV3001682,ITEM100704,WH_DEL_01,29-12-24,34,26,-8,Damage,Vendor short supply,Resolved
DISC6000192,MOV3001717,ITEM127984,WH_DEL_01,26-04-22,10,12,2,Shortage,Vendor short supply,Resolved
DISC6000193,MOV3001730,ITEM119428,WH_CHN_01,14-05-23,13,4,-9,Count Error,Documentation missing,Resolved
DISC6000194,MOV3001745,ITEM108699,WH_BLR_01,05-01-21,17,23,6,Count Error,Handling damage,Adjusted
DISC6000195,MOV3001747,ITEM116547,WH_CHN_01,20-09-23,13,16,3,Excess,System posting delay,Adjusted
DISC6000196,MOV3001757,ITEM120300,WH_PUN_01,31-10-24,6,8,2,Excess,Wrong bin placement,Resolved
DISC6000197,MOV3001761,ITEM125176,WH_NAG_01,15-08-24,15,11,-4,Count Error,Wrong bin placement,Adjusted
DISC6000198,MOV3001781,ITEM134007,WH_MUM_01,22-03-22,16,25,9,Count Error,Handling damage,Resolved
DISC6000199,MOV3001790,ITEM117116,WH_DEL_01,07-01-22,2,10,8,Shortage,Handling damage,Resolved
DISC6000200,MOV3001792,ITEM110377,WH_MUM_01,31-05-23,30,28,-2,Excess,Manual counting error,Resolved
DISC6000201,MOV3001812,ITEM113672,WH_CHN_01,20-02-23,22,31,9,Shortage,Wrong bin placement,Resolved
DISC6000202,MOV3001822,ITEM115624,WH_MUM_01,06-07-23,30,25,-5,Excess,Wrong bin placement,Open
DISC6000203,MOV3001835,ITEM114900,WH_BLR_01,22-03-22,18,18,0,Excess,System posting delay,Resolved
DISC6000204,MOV3001837,ITEM132455,WH_NAG_01,30-04-23,6,1,-5,Excess,Manual counting error,Under Investigation
DISC6000205,MOV3001856,ITEM106101,WH_MUM_01,23-08-24,2,0,-2,Shortage,System posting delay,Resolved
DISC6000206,MOV3001888,ITEM118133,WH_CHN_01,11-06-23,17,9,-8,Count Error,Manual counting error,Under Investigation
DISC6000207,MOV3001904,ITEM131682,WH_MUM_01,10-06-21,15,16,1,Damage,Wrong bin placement,Under Investigation
DISC6000208,MOV3001919,ITEM104419,WH_MUM_01,16-11-21,39,31,-8,Count Error,Wrong bin placement,Open
DISC6000209,MOV3001925,ITEM105820,WH_DEL_01,06-04-23,24,16,-8,Count Error,Documentation missing,Resolved
DISC6000210,MOV3001931,ITEM108659,WH_PUN_01,30-11-23,15,21,6,Shortage,Wrong bin placement,Adjusted
DISC6000211,MOV3001934,ITEM109380,WH_MUM_01,21-08-23,6,8,2,Excess,Documentation missing,Under Investigation
DISC6000212,MOV3001938,ITEM128467,WH_CHN_01,07-11-23,15,23,8,Damage,Handling damage,Open
DISC6000213,MOV3001948,ITEM106600,WH_CHN_01,24-12-22,36,31,-5,Excess,Handling damage,Adjusted
DISC6000214,MOV3001973,ITEM135217,WH_BLR_01,16-03-22,16,21,5,Wrong Item,System posting delay,Adjusted
DISC6000215,MOV3001978,ITEM130140,WH_BLR_01,03-08-24,35,29,-6,Shortage,Documentation missing,Open
DISC6000216,MOV3001981,ITEM122664,WH_BLR_01,04-07-21,27,24,-3,Wrong Item,Wrong bin placement,Under Investigation
DISC6000217,MOV3001991,ITEM113107,WH_BLR_01,14-10-23,9,15,6,Count Error,Vendor short supply,Under Investigation
DISC6000218,MOV3001998,ITEM137091,WH_MUM_01,31-01-22,1,0,-1,Damage,Handling damage,Open
DISC6000219,MOV3002004,ITEM124846,WH_CHN_01,03-07-21,15,21,6,Wrong Item,Handling damage,Adjusted
DISC6000220,MOV3002022,ITEM126388,WH_CHN_01,11-02-23,38,43,5,Wrong Item,Wrong bin placement,Adjusted
DISC6000221,MOV3002028,ITEM116962,WH_MUM_01,14-08-23,36,29,-7,Shortage,System posting delay,Resolved
DISC6000222,MOV3002032,ITEM106078,WH_MUM_01,22-12-22,19,25,6,Shortage,Manual counting error,Under Investigation
DISC6000223,MOV3002036,ITEM129376,WH_BLR_01,19-01-21,20,27,7,Wrong Item,Vendor short supply,Open
DISC6000224,MOV3002050,ITEM121883,WH_NAG_01,12-02-24,16,23,7,Excess,Documentation missing,Resolved
DISC6000225,MOV3002053,ITEM137433,WH_CHN_01,13-10-22,8,3,-5,Wrong Item,Documentation missing,Under Investigation
DISC6000226,MOV3002059,ITEM121759,WH_PUN_01,22-05-23,24,16,-8,Shortage,System posting delay,Under Investigation
DISC6000227,MOV3002066,ITEM130872,WH_MUM_01,08-09-21,26,18,-8,Count Error,Documentation missing,Adjusted
DISC6000228,MOV3002070,ITEM113994,WH_CHN_01,16-12-24,17,24,7,Wrong Item,Documentation missing,Under Investigation
DISC6000229,MOV3002091,ITEM114697,WH_NAG_01,05-08-24,16,12,-4,Count Error,Documentation missing,Open
