Item_ID,Item_Description,Item_Category,Priority_Level,UOM,Warehouse_Code,Warehouse_City,Active_Flag
ITEM100043,Inventory Item 44,Raw Material,Medium,Nos,WH_PUN_01,Pune,Yes
ITEM100044,Inventory Item 45,Finished Goods,Medium,Nos,WH_CHN_01,Chennai,Yes
ITEM100045,Inventory Item 46,Finished Goods,Medium,Box,WH_CHN_01,Chennai,No
ITEM100046,Inventory Item 47,Raw Material,Medium,Kg,WH_MUM_01,Mumbai,Yes
ITEM100047,Inventory Item 48,Raw Material,Low,Pallet,WH_NAG_01,Nagpur,Yes
ITEM100048,Inventory Item 49,Finished Goods,Low,Pallet,WH_CHN_01,Chennai,No
ITEM100049,Inventory Item 50,Spare Parts,Medium,Nos,WH_BLR_01,Bangalore,Yes
ITEM100050,Inventory Item 51,Finished Goods,Medium,Box,WH_BLR_01,Bangalore,Yes
ITEM100051,Inventory Item 52,Finished Goods,Medium,Nos,WH_BLR_01,Bangalore,Yes
ITEM100052,Inventory Item 53,Finished Goods,Medium,Kg,WH_BLR_01,Bangalore,Yes
ITEM100053,Inventory Item 54,Consumables,Medium,Nos,WH_BLR_01,Bangalore,No
ITEM100054,Inventory Item 55,Spare Parts,Medium,Nos,WH_NAG_01,Nagpur,Yes
ITEM100055,Inventory Item 56,Finished Goods,Low,Nos,WH_DEL_01,Delhi,Yes
ITEM100056,Inventory Item 57,Finished Goods,High,Kg,WH_DEL_01,Delhi,No
ITEM100057,Inventory Item 58,Finished Goods,Medium,Nos,WH_MUM_01,Mumbai,Yes
ITEM100058,Inventory Item 59,Raw Material,Medium,Nos,WH_CHN_01,Chennai,Yes
ITEM100059,Inventory Item 60,Raw Material,High,Nos,WH_CHN_01,Chennai,Yes
ITEM100060,Inventory Item 61,Finished Goods,Medium,Pallet,WH_BLR_01,Bangalore,Yes
ITEM100061,Inventory Item 62,Consumables,Medium,Pallet,WH_MUM_01,Mumbai,Yes
ITEM100062,Inventory Item 63,Raw Material,High,Pallet,WH_BLR_01,Bangalore,Yes
ITEM100063,Inventory Item 64,Raw Material,Low,Kg,WH_DEL_01,Delhi,Yes
ITEM100064,Inventory Item 65,Raw Material,High,Kg,WH_MUM_01,Mumbai,Yes
ITEM100065,Inventory Item 66,Finished Goods,High,Kg,WH_DEL_01,Delhi,Yes
ITEM100066,Inventory Item 67,Raw Material,Medium,Pallet,WH_BLR_01,Bangalore,Yes
ITEM100067,Inventory Item 68,Packaging,Low,Pallet,WH_MUM_01,Mumbai,Yes
ITEM100068,Inventory Item 69,Finished Goods,Medium,Pallet,WH_PUN_01,Pune,No
ITEM100069,Inventory Item 70,Finished Goods,Low,Kg,WH_PUN_01,Pune,No
ITEM100070,Inventory Item 71,Finished Goods,Medium,Nos,WH_DEL_01,Delhi,Yes
ITEM100071,Inventory Item 72,Finished Goods,Low,Kg,WH_DEL_01,Delhi,Yes
ITEM100072,Inventory Item 73,Packaging,High,Box,WH_MUM_01,Mumbai,No
ITEM100073,Inventory Item 74,Finished Goods,High,Pallet,WH_PUN_01,Pune,Yes
ITEM100074,Inventory Item 75,Raw Material,Medium,Pallet,WH_DEL_01,Delhi,Yes
ITEM100075,Inventory Item 76,Finished Goods,High,Pallet,WH_BLR_01,Bangalore,Yes
ITEM100076,Inventory Item 77,Packaging,Medium,Kg,WH_CHN_01,Chennai,No
ITEM100077,Inventory Item 78,Consumables,Medium,Kg,WH_NAG_01,Nagpur,Yes
ITEM100078,Inventory Item 79,Finished Goods,Medium,Box,WH_MUM_01,Mumbai,Yes
ITEM100079,Inventory Item 80,Consumables,High,Kg,WH_DEL_01,Delhi,No
ITEM100080,Inventory Item 81,Finished Goods,High,Kg,WH_DEL_01,Delhi,Yes
ITEM100081,Inventory Item 82,Finished Goods,Medium,Kg,WH_DEL_01,Delhi,Yes
ITEM100082,Inventory Item 83,Raw Material,Low,Nos,WH_BLR_01,Bangalore,No
ITEM100083,Inventory Item 84,Raw Material,High,Box,WH_NAG_01,Nagpur,Yes
ITEM100084,Inventory Item 85,Consumables,High,Pallet,WH_CHN_01,Chennai,No
ITEM100085,Inventory Item 86,Packaging,Medium,Box,WH_PUN_01,Pune,Yes
ITEM100086,Inventory Item 87,Spare Parts,High,Kg,WH_DEL_01,Delhi,Yes
ITEM100087,Inventory Item 88,Raw Material,Medium,Kg,WH_PUN_01,Pune,Yes
ITEM100088,Inventory Item 89,Consumables,High,Box,WH_CHN_01,Chennai,Yes
ITEM100089,Inventory Item 90,Spare Parts,Medium,Pallet,WH_NAG_01,Nagpur,Yes
ITEM100090,Inventory Item 91,Consumables,Medium,Pallet,WH_CHN_01,Chennai,Yes
ITEM100091,Inventory Item 92,Packaging,Medium,Kg,WH_NAG_01,Nagpur,Yes
ITEM100092,Inventory Item 93,Finished Goods,Low,Pallet,WH_MUM_01,Mumbai,No
ITEM100093,Inventory Item 94,Raw Material,High,Nos,WH_MUM_01,Mumbai,Yes
ITEM100094,Inventory Item 95,Spare Parts,Low,Box,WH_CHN_01,Chennai,Yes
ITEM100095,Inventory Item 96,Finished Goods,Low,Box,WH_DEL_01,Delhi,Yes
ITEM100096,Inventory Item 97,Finished Goods,Low,Kg,WH_DEL_01,Delhi,Yes
ITEM100097,Inventory Item 98,Spare Parts,High,Nos,WH_PUN_01,Pune,Yes
ITEM100098,Inventory Item 99,Packaging,High,Box,WH_CHN_01,Chennai,No
ITEM100099,Inventory Item 100,Finished Goods,Medium,Nos,WH_PUN_01,Pune,No
ITEM100100,Inventory Item 101,Raw Material,High,Box,WH_NAG_01,Nagpur,Yes
ITEM100101,Inventory Item 102,Raw Material,Medium,Kg,WH_BLR_01,Bangalore,Yes
ITEM100102,Inventory Item 103,Finished Goods,Medium,Nos,WH_PUN_01,Pune,No
ITEM100103,Inventory Item 104,Packaging,Low,Box,WH_NAG_01,Nagpur,No
ITEM100104,Inventory Item 105,Consumables,High,Nos,WH_DEL_01,Delhi,Yes
ITEM100105,Inventory Item 106,Finished Goods,Medium,Nos,WH_MUM_01,Mumbai,Yes
ITEM100106,Inventory Item 107,Finished Goods,Medium,Kg,WH_PUN_01,Pune,Yes
ITEM100107,Inventory Item 108,Finished Goods,Medium,Box,WH_DEL_01,Delhi,Yes
ITEM100108,Inventory Item 109,Finished Goods,High,Nos,WH_DEL_01,Delhi,Yes
ITEM100109,Inventory Item 110,Raw Material,Medium,Pallet,WH_MUM_01,Mumbai,Yes
ITEM100110,Inventory Item 111,Raw Material,Medium,Box,WH_PUN_01,Pune,Yes
ITEM100111,Inventory Item 112,Packaging,Medium,Kg,WH_MUM_01,Mumbai,Yes
ITEM100112,Inventory Item 113,Raw Material,Medium,Box,WH_NAG_01,Nagpur,Yes
ITEM100113,Inventory Item 114,Finished Goods,Medium,Nos,WH_MUM_01,Mumbai,Yes
ITEM100114,Inventory Item 115,Raw Material,Medium,Box,WH_DEL_01,Delhi,Yes
ITEM100115,Inventory Item 116,Packaging,High,Box,WH_DEL_01,Delhi,No
ITEM100116,Inventory Item 117,Spare Parts,High,Nos,WH_BLR_01,Bangalore,Yes
ITEM100117,Inventory Item 118,Packaging,High,Pallet,WH_MUM_01,Mumbai,No
ITEM100118,Inventory Item 119,Packaging,High,Pallet,WH_BLR_01,Bangalore,Yes
ITEM100119,Inventory Item 120,Finished Goods,High,Pallet,WH_BLR_01,Bangalore,No
ITEM100120,Inventory Item 121,Packaging,Medium,Pallet,WH_CHN_01,Chennai,Yes
ITEM100121,Inventory Item 122,Finished Goods,Medium,Nos,WH_NAG_01,Nagpur,Yes
ITEM100122,Inventory Item 123,Finished Goods,Medium,Pallet,WH_NAG_01,Nagpur,Yes
ITEM100123,Inventory Item 124,Finished Goods,Medium,Kg,WH_DEL_01,Delhi,No
ITEM100124,Inventory Item 125,Packaging,Medium,Box,WH_DEL_01,Delhi,Yes
ITEM100125,Inventory Item 126,Finished Goods,High,Nos,WH_BLR_01,Bangalore,Yes
ITEM100126,Inventory Item 127,Finished Goods,High,Nos,WH_BLR_01,Bangalore,No
ITEM100127,Inventory Item 128,Packaging,High,Nos,WH_MUM_01,Mumbai,Yes
ITEM100128,Inventory Item 129,Raw Material,Low,Pallet,WH_MUM_01,Mumbai,Yes
ITEM100129,Inventory Item 130,Spare Parts,Medium,Kg,WH_BLR_01,Bangalore,No
ITEM100130,Inventory Item 131,Consumables,Medium,Nos,WH_MUM_01,Mumbai,No
ITEM100131,Inventory Item 132,Spare Parts,Medium,Box,WH_CHN_01,Chennai,Yes
ITEM100132,Inventory Item 133,Finished Goods,Medium,Box,WH_DEL_01,Delhi,Yes
ITEM100133,Inventory Item 134,Consumables,Medium,Nos,WH_MUM_01,Mumbai,Yes
ITEM100134,Inventory Item 135,Finished Goods,High,Pallet,WH_DEL_01,Delhi,Yes
ITEM100135,Inventory Item 136,Consumables,High,Box,WH_DEL_01,Delhi,Yes
ITEM100136,Inventory Item 137,Raw Material,High,Kg,WH_BLR_01,Bangalore,Yes
ITEM100137,Inventory Item 138,Finished Goods,Medium,Box,WH_BLR_01,Bangalore,Yes
ITEM100138,Inventory Item 139,Raw Material,Medium,Kg,WH_MUM_01,Mumbai,No
ITEM100139,Inventory Item 140,Finished Goods,Low,Kg,WH_CHN_01,Chennai,Yes
ITEM100140,Inventory Item 141,Consumables,Low,Box,WH_DEL_01,Delhi,No
ITEM100141,Inventory Item 142,Raw Material,Low,Box,WH_PUN_01,Pune,Yes
ITEM100142,Inventory Item 143,Finished Goods,High,Nos,WH_DEL_01,Delhi,Yes
ITEM100143,Inventory Item 144,Finished Goods,Medium,Box,WH_CHN_01,Chennai,Yes
ITEM100144,Inventory Item 145,Consumables,Medium,Nos,WH_PUN_01,Pune,Yes
ITEM100145,Inventory Item 146,Raw Material,Medium,Kg,WH_DEL_01,Delhi,Yes
ITEM100146,Inventory Item 147,Packaging,Medium,Pallet,WH_CHN_01,Chennai,No
ITEM100147,Inventory Item 148,Raw Material,Medium,Pallet,WH_MUM_01,Mumbai,Yes
ITEM100148,Inventory Item 149,Packaging,Low,Pallet,WH_BLR_01,Bangalore,No
ITEM100149,Inventory Item 150,Packaging,Medium,Pallet,WH_CHN_01,Chennai,Yes
ITEM100150,Inventory Item 151,Raw Material,Low,Pallet,WH_BLR_01,Bangalore,Yes
ITEM100151,Inventory Item 152,Finished Goods,High,Kg,WH_MUM_01,Mumbai,Yes
ITEM100152,Inventory Item 153,Finished Goods,Medium,Nos,WH_DEL_01,Delhi,Yes
ITEM100153,Inventory Item 154,Consumables,Medium,Box,WH_MUM_01,Mumbai,Yes
ITEM100154,Inventory Item 155,Finished Goods,High,Box,WH_MUM_01,Mumbai,No
ITEM100155,Inventory Item 156,Spare Parts,Medium,Pallet,WH_PUN_01,Pune,Yes
ITEM100156,Inventory Item 157,Spare Parts,Medium,Kg,WH_PUN_01,Pune,Yes
ITEM100157,Inventory Item 158,Raw Material,High,Box,WH_NAG_01,Nagpur,Yes
ITEM100158,Inventory Item 159,Consumables,Low,Pallet,WH_PUN_01,Pune,Yes
ITEM100159,Inventory Item 160,Finished Goods,High,Kg,WH_NAG_01,Nagpur,No
ITEM100160,Inventory Item 161,Raw Material,High,Pallet,WH_PUN_01,Pune,No
ITEM100161,Inventory Item 162,Finished Goods,High,Box,WH_CHN_01,Chennai,Yes
ITEM100162,Inventory Item 163,Raw Material,Low,Nos,WH_MUM_01,Mumbai,Yes
ITEM100163,Inventory Item 164,Raw Material,Medium,Nos,WH_NAG_01,Nagpur,Yes
ITEM100164,Inventory Item 165,Raw Material,High,Box,WH_PUN_01,Pune,Yes
ITEM100165,Inventory Item 166,Spare Parts,Medium,Nos,WH_DEL_01,Delhi,No
ITEM100166,Inventory Item 167,Raw Material,Low,Box,WH_NAG_01,Nagpur,No
ITEM100167,Inventory Item 168,Finished Goods,Low,Pallet,WH_MUM_01,Mumbai,Yes
ITEM100168,Inventory Item 169,Raw Material,Medium,Nos,WH_BLR_01,Bangalore,No
ITEM100169,Inventory Item 170,Spare Parts,High,Pallet,WH_MUM_01,Mumbai,Yes
ITEM100170,Inventory Item 171,Finished Goods,High,Nos,WH_DEL_01,Delhi,Yes
ITEM100171,Inventory Item 172,Packaging,Low,Nos,WH_CHN_01,Chennai,No
ITEM100172,Inventory Item 173,Spare Parts,Medium,Box,WH_MUM_01,Mumbai,Yes
ITEM100173,Inventory Item 174,Raw Material,Low,Box,WH_DEL_01,Delhi,Yes
ITEM100174,Inventory Item 175,Raw Material,High,Nos,WH_BLR_01,Bangalore,No
ITEM100175,Inventory Item 176,Raw Material,Medium,Pallet,WH_CHN_01,Chennai,No
ITEM100176,Inventory Item 177,Raw Material,Medium,Pallet,WH_CHN_01,Chennai,Yes
ITEM100177,Inventory Item 178,Raw Material,Medium,Box,WH_DEL_01,Delhi,Yes
ITEM100178,Inventory Item 179,Consumables,Medium,Box,WH_PUN_01,Pune,Yes
ITEM100179,Inventory Item 180,Packaging,Medium,Box,WH_PUN_01,Pune,Yes
ITEM100180,Inventory Item 181,Finished Goods,High,Kg,WH_PUN_01,Pune,Yes
ITEM100181,Inventory Item 182,Packaging,High,Pallet,WH_CHN_01,Chennai,Yes
ITEM100182,Inventory Item 183,Finished Goods,High,Nos,WH_DEL_01,Delhi,Yes
ITEM100183,Inventory Item 184,Finished Goods,Medium,Pallet,WH_PUN_01,Pune,Yes
ITEM100184,Inventory Item 185,Spare Parts,Low,Pallet,WH_DEL_01,Delhi,Yes
ITEM100185,Inventory Item 186,Raw Material,Medium,Pallet,WH_BLR_01,Bangalore,No
ITEM100186,Inventory Item 187,Raw Material,High,Nos,WH_NAG_01,Nagpur,Yes
ITEM100187,Inventory Item 188,Consumables,Low,Kg,WH_NAG_01,Nagpur,Yes
ITEM100188,Inventory Item 189,Raw Material,High,Nos,WH_BLR_01,Bangalore,Yes
ITEM100189,Inventory Item 190,Raw Material,Low,Nos,WH_BLR_01,Bangalore,Yes
ITEM100190,Inventory Item 191,Finished Goods,Low,Kg,WH_MUM_01,Mumbai,Yes
ITEM100191,Inventory Item 192,Consumables,High,Nos,WH_BLR_01,Bangalore,Yes
ITEM100192,Inventory Item 193,Raw Material,Medium,Kg,WH_PUN_01,Pune,No
ITEM100193,Inventory Item 194,Finished Goods,High,Kg,WH_BLR_01,Bangalore,Yes
ITEM100194,Inventory Item 195,Consumables,High,Nos,WH_DEL_01,Delhi,Yes
ITEM100195,Inventory Item 196,Consumables,Low,Box,WH_PUN_01,Pune,No
ITEM100196,Inventory Item 197,Raw Material,High,Nos,WH_CHN_01,Chennai,No
ITEM100197,Inventory Item 198,Finished Goods,Low,Pallet,WH_MUM_01,Mumbai,Yes
ITEM100198,Inventory Item 199,Finished Goods,High,Pallet,WH_BLR_01,Bangalore,Yes
ITEM100199,Inventory Item 200,Consumables,High,Kg,WH_PUN_01,Pune,Yes
ITEM100200,Inventory Item 201,Packaging,Medium,Kg,WH_CHN_01,Chennai,Yes
ITEM100201,Inventory Item 202,Packaging,High,Kg,WH_PUN_01,Pune,No
ITEM100202,Inventory Item 203,Finished Goods,Low,Pallet,WH_CHN_01,Chennai,Yes
ITEM100203,Inventory Item 204,Finished Goods,High,Kg,WH_PUN_01,Pune,Yes
ITEM100204,Inventory Item 205,Raw Material,High,Box,WH_CHN_01,Chennai,Yes
ITEM100205,Inventory Item 206,Finished Goods,Medium,Kg,WH_NAG_01,Nagpur,No
ITEM100206,Inventory Item 207,Consumables,High,Box,WH_DEL_01,Delhi,No
ITEM100207,Inventory Item 208,Finished Goods,Medium,Box,WH_MUM_01,Mumbai,Yes
ITEM100208,Inventory Item 209,Finished Goods,Medium,Box,WH_PUN_01,Pune,Yes
ITEM100209,Inventory Item 210,Raw Material,High,Kg,WH_MUM_01,Mumbai,Yes
ITEM100210,Inventory Item 211,Raw Material,Medium,Pallet,WH_BLR_01,Bangalore,Yes
ITEM100211,Inventory Item 212,Consumables,Medium,Nos,WH_PUN_01,Pune,Yes
ITEM100212,Inventory Item 213,Finished Goods,Low,Pallet,WH_MUM_01,Mumbai,No
ITEM100213,Inventory Item 214,Spare Parts,Medium,Nos,WH_PUN_01,Pune,Yes
ITEM100214,Inventory Item 215,Spare Parts,Medium,Nos,WH_DEL_01,Delhi,Yes
ITEM100215,Inventory Item 216,Raw Material,Medium,Pallet,WH_DEL_01,Delhi,Yes
ITEM100216,Inventory Item 217,Raw Material,Medium,Pallet,WH_MUM_01,Mumbai,No
ITEM100217,Inventory Item 218,Raw Material,Low,Box,WH_NAG_01,Nagpur,Yes
ITEM100218,Inventory Item 219,Raw Material,Medium,Box,WH_NAG_01,Nagpur,Yes
ITEM100219,Inventory Item 220,Finished Goods,Medium,Pallet,WH_MUM_01,Mumbai,Yes
ITEM100220,Inventory Item 221,Packaging,High,Kg,WH_PUN_01,Pune,Yes
ITEM100221,Inventory Item 222,Finished Goods,High,Pallet,WH_DEL_01,Delhi,Yes
ITEM100222,Inventory Item 223,Consumables,High,Nos,WH_BLR_01,Bangalore,No
ITEM100223,Inventory Item 224,Spare Parts,Medium,Box,WH_CHN_01,Chennai,Yes
ITEM100224,Inventory Item 225,Raw Material,Low,Box,WH_CHN_01,Chennai,Yes
ITEM100225,Inventory Item 226,Finished Goods,High,Pallet,WH_DEL_01,Delhi,Yes
ITEM100226,Inventory Item 227,Packaging,Low,Nos,WH_NAG_01,Nagpur,Yes
ITEM100227,Inventory Item 228,Raw Material,Low,Kg,WH_CHN_01,Chennai,Yes
ITEM100228,Inventory Item 229,Raw Material,Medium,Kg,WH_BLR_01,Bangalore,Yes
ITEM100229,Inventory Item 230,Raw Material,High,Pallet,WH_MUM_01,Mumbai,Yes
ITEM100230,Inventory Item 231,Finished Goods,Medium,Pallet,WH_PUN_01,Pune,Yes
ITEM100231,Inventory Item 232,Spare Parts,Medium,Kg,WH_NAG_01,Nagpur,Yes
ITEM100232,Inventory Item 233,Packaging,High,Kg,WH_PUN_01,Pune,Yes
ITEM100233,Inventory Item 234,Finished Goods,Low,Nos,WH_PUN_01,Pune,Yes
ITEM100234,Inventory Item 235,Raw Material,Medium,Nos,WH_NAG_01,Nagpur,Yes
ITEM100235,Inventory Item 236,Packaging,Medium,Pallet,WH_PUN_01,Pune,No
ITEM100236,Inventory Item 237,Packaging,High,Box,WH_CHN_01,Chennai,No
ITEM100237,Inventory Item 238,Finished Goods,Medium,Pallet,WH_BLR_01,Bangalore,No
ITEM100238,Inventory Item 239,Finished Goods,Medium,Pallet,WH_BLR_01,Bangalore,Yes
ITEM100239,Inventory Item 240,Spare Parts,Medium,Nos,WH_DEL_01,Delhi,No
ITEM100240,Inventory Item 241,Raw Material,Medium,Kg,WH_BLR_01,Bangalore,No
ITEM100241,Inventory Item 242,Spare Parts,High,Kg,WH_MUM_01,Mumbai,Yes
ITEM100242,Inventory Item 243,Spare Parts,Low,Nos,WH_NAG_01,Nagpur,Yes
ITEM100243,Inventory Item 244,Packaging,Medium,Pallet,WH_DEL_01,Delhi,Yes
ITEM100244,Inventory Item 245,Finished Goods,Medium,Kg,WH_MUM_01,Mumbai,Yes
ITEM100245,Inventory Item 246,Packaging,Low,Box,WH_CHN_01,Chennai,Yes
ITEM100246,Inventory Item 247,Consumables,Medium,Nos,WH_MUM_01,Mumbai,No
ITEM100247,Inventory Item 248,Finished Goods,High,Box,WH_MUM_01,Mumbai,Yes
ITEM100248,Inventory Item 249,Finished Goods,High,Pallet,WH_DEL_01,Delhi,Yes
ITEM100249,Inventory Item 250,Consumables,High,Nos,WH_NAG_01,Nagpur,No
ITEM100250,Inventory Item 251,Raw Material,High,Nos,WH_NAG_01,Nagpur,Yes
ITEM100251,Inventory Item 252,Raw Material,Medium,Kg,WH_CHN_01,Chennai,Yes
ITEM100252,Inventory Item 253,Packaging,Medium,Kg,WH_MUM_01,Mumbai,No
ITEM100253,Inventory Item 254,Packaging,Low,Nos,WH_CHN_01,Chennai,Yes
ITEM100254,Inventory Item 255,Finished Goods,Medium,Pallet,WH_BLR_01,Bangalore,Yes
ITEM100255,Inventory Item 256,Finished Goods,Medium,Kg,WH_CHN_01,Chennai,No
ITEM100256,Inventory Item 257,Consumables,Medium,Nos,WH_MUM_01,Mumbai,Yes
ITEM100257,Inventory Item 258,Packaging,Medium,Kg,WH_MUM_01,Mumbai,Yes
ITEM100258,Inventory Item 259,Finished Goods,Medium,Pallet,WH_PUN_01,Pune,Yes
ITEM100259,Inventory Item 260,Finished Goods,Medium,Nos,WH_BLR_01,Bangalore,Yes
ITEM100260,Inventory Item 261,Raw Material,High,Nos,WH_BLR_01,Bangalore,No
ITEM100261,Inventory Item 262,Raw Material,Medium,Box,WH_PUN_01,Pune,Yes
ITEM100262,Inventory Item 263,Finished Goods,Medium,Pallet,WH_MUM_01,Mumbai,No
ITEM100263,Inventory Item 264,Packaging,Medium,Kg,WH_NAG_01,Nagpur,Yes
ITEM100264,Inventory Item 265,Raw Material,High,Kg,WH_NAG_01,Nagpur,Yes
ITEM100265,Inventory Item 266,Raw Material,Low,Kg,WH_BLR_01,Bangalore,No
ITEM100266,Inventory Item 267,Packaging,Low,Kg,WH_BLR_01,Bangalore,Yes
ITEM100267,Inventory Item 268,Finished Goods,Medium,Pallet,WH_BLR_01,Bangalore,Yes
ITEM100268,Inventory Item 269,Raw Material,Medium,Pallet,WH_CHN_01,Chennai,No
ITEM100269,Inventory Item 270,Finished Goods,Medium,Kg,WH_PUN_01,Pune,Yes
ITEM100270,Inventory Item 271,Finished Goods,High,Kg,WH_PUN_01,Pune,Yes
ITEM100271,Inventory Item 272,Consumables,Low,Pallet,WH_DEL_01,Delhi,Yes
ITEM100272,Inventory Item 273,Spare Parts,High,Box,WH_BLR_01,Bangalore,Yes
ITEM100273,Inventory Item 274,Spare Parts,High,Nos,WH_MUM_01,Mumbai,Yes
ITEM100274,Inventory Item 275,Raw Material,Low,Box,WH_MUM_01,Mumbai,No
ITEM100275,Inventory Item 276,Packaging,Medium,Kg,WH_BLR_01,Bangalore,No
ITEM100276,Inventory Item 277,Packaging,Low,Box,WH_CHN_01,Chennai,No
ITEM100277,Inventory Item 278,Raw Material,High,Pallet,WH_PUN_01,Pune,No
ITEM100278,Inventory Item 279,Packaging,High,Box,WH_PUN_01,Pune,Yes
ITEM100279,Inventory Item 280,Packaging,High,Nos,WH_NAG_01,Nagpur,Yes
ITEM100280,Inventory Item 281,Spare Parts,Medium,Pallet,WH_DEL_01,Delhi,Yes
ITEM100281,Inventory Item 282,Raw Material,High,Box,WH_CHN_01,Chennai,Yes
ITEM100282,Inventory Item 283,Finished Goods,Medium,Nos,WH_NAG_01,Nagpur,Yes
ITEM100283,Inventory Item 284,Finished Goods,Medium,Kg,WH_BLR_01,Bangalore,Yes
ITEM100284,Inventory Item 285,Finished Goods,Medium,Pallet,WH_CHN_01,Chennai,No
ITEM100285,Inventory Item 286,Finished Goods,Medium,Pallet,WH_NAG_01,Nagpur,No
ITEM100286,Inventory Item 287,Finished Goods,Medium,Box,WH_NAG_01,Nagpur,Yes
ITEM100287,Inventory Item 288,Spare Parts,High,Pallet,WH_NAG_01,Nagpur,Yes
ITEM100288,Inventory Item 289,Finished Goods,Low,Pallet,WH_MUM_01,Mumbai,Yes
ITEM100289,Inventory Item 290,Finished Goods,Medium,Kg,WH_CHN_01,Chennai,No
ITEM100290,Inventory Item 291,Raw Material,High,Kg,WH_NAG_01,Nagpur,Yes
ITEM100291,Inventory Item 292,Raw Material,Medium,Box,WH_BLR_01,Bangalore,No
ITEM100292,Inventory Item 293,Raw Material,High,Box,WH_MUM_01,Mumbai,Yes
ITEM100293,Inventory Item 294,Packaging,High,Nos,WH_NAG_01,Nagpur,Yes
