Year_Month,Warehouse_Code,Tasks_Assigned,Tasks_Completed,Avg_Assigned_Qty,Total_Movements,Inward_Movements,Outward_Movements,Total_Quantity_Moved,Mismatch_Count,Discrepancy_Count,Total_Variance,Validations_Done,Validation_Failures,Task_Completion_Rate_%,Mismatch_Rate_%,Validation_Failure_Rate_%
2022-11,WH_DEL_01,339,279,19.91740412979351,394,178,216,7729,42,51,-39,433,93,82.3,10.66,21.48
2022-11,WH_MUM_01,314,262,20.480891719745223,405,200,205,8054,50,59,-40,433,93,83.44,12.35,21.48
2022-11,WH_NAG_01,356,310,19.879213483146067,408,193,215,7988,47,57,-106,433,93,87.08,11.52,21.48
2022-11,WH_PUN_01,285,236,20.32280701754386,453,209,244,8955,38,49,-23,433,93,82.81,8.39,21.48
2022-12,WH_BLR_01,335,285,19.785074626865672,420,218,202,8190,42,53,5,412,103,85.07,10.0,25.0
2022-12,WH_CHN_01,354,304,20.875706214689266,447,230,217,8405,58,63,-42,412,103,85.88,12.98,25.0
2022-12,WH_DEL_01,330,279,19.818181818181817,408,215,193,8072,35,45,-23,412,103,84.55,8.58,25.0
2022-12,WH_MUM_01,335,288,20.262686567164177,427,207,220,8343,32,42,1,412,103,85.97,7.49,25.0
2022-12,WH_NAG_01,342,283,20.704678362573098,485,218,267,9206,49,63,40,412,103,82.75,10.1,25.0
2022-12,WH_PUN_01,367,304,20.645776566757494,437,218,219,8674,40,53,-25,412,103,82.83,9.15,25.0
2023-01,WH_BLR_01,326,288,21.033742331288344,423,216,207,8406,36,43,-8,441,102,88.34,8.51,23.13
2023-01,WH_CHN_01,353,292,19.89801699716714,429,200,229,8100,49,61,-32,441,102,82.72,11.42,23.13
2023-01,WH_DEL_01,331,284,20.583081570996978,437,223,214,8873,48,58,-43,441,102,85.8,10.98,23.13
2023-01,WH_MUM_01,338,284,19.997041420118343,411,196,215,8339,31,42,-55,441,102,84.02,7.54,23.13
2023-01,WH_NAG_01,363,318,19.14876033057851,417,181,236,8195,50,64,-18,441,102,87.6,11.99,23.13
2023-01,WH_PUN_01,351,302,20.116809116809115,368,169,199,7217,39,53,-35,441,102,86.04,10.6,23.13
2023-02,WH_BLR_01,325,264,20.09846153846154,389,177,212,7525,41,48,60,377,96,81.23,10.54,25.46
2023-02,WH_CHN_01,294,242,20.095238095238095,380,182,198,7409,30,40,3,377,96,82.31,7.89,25.46
2023-02,WH_DEL_01,315,273,19.685714285714287,407,202,205,7870,40,50,28,377,96,86.67,9.83,25.46
2023-02,WH_MUM_01,282,242,19.95035460992908,400,196,204,7545,42,50,-15,377,96,85.82,10.5,25.46
2023-02,WH_NAG_01,318,267,19.669811320754718,374,192,182,7231,39,50,-41,377,96,83.96,10.43,25.46
2023-02,WH_PUN_01,335,287,20.32537313432836,358,170,188,7230,29,39,-4,377,96,85.67,8.1,25.46
2023-03,WH_BLR_01,363,311,19.03305785123967,413,206,207,8248,39,56,74,439,77,85.67,9.44,17.54
2023-03,WH_CHN_01,366,321,20.636612021857925,410,201,209,8166,48,60,-51,439,77,87.7,11.71,17.54
2023-03,WH_DEL_01,342,287,21.304093567251464,431,208,223,8526,36,44,-41,439,77,83.92,8.35,17.54
2023-03,WH_MUM_01,349,297,19.81948424068768,422,192,230,8211,40,47,5,439,77,85.1,9.48,17.54
2023-03,WH_NAG_01,382,321,20.638743455497384,429,210,219,8291,43,55,37,439,77,84.03,10.02,17.54
2023-03,WH_PUN_01,329,284,20.416413373860184,399,188,211,8086,39,47,-11,439,77,86.32,9.77,17.54
2023-04,WH_BLR_01,340,294,20.341176470588234,426,179,247,8525,42,59,-11,400,73,86.47,9.86,18.25
2023-04,WH_CHN_01,343,285,20.279883381924197,433,202,231,8515,43,53,-93,400,73,83.09,9.93,18.25
2023-04,WH_DEL_01,352,295,20.272727272727273,418,188,230,8493,48,64,-3,400,73,83.81,11.48,18.25
2023-04,WH_MUM_01,332,280,20.487951807228917,369,182,187,7240,27,41,23,400,73,84.34,7.32,18.25
2023-04,WH_NAG_01,321,265,19.669781931464176,403,186,217,7900,39,47,30,400,73,82.55,9.68,18.25
2023-04,WH_PUN_01,345,301,20.043478260869566,404,182,222,7838,39,50,-9,400,73,87.25,9.65,18.25
2023-05,WH_BLR_01,345,299,20.055072463768116,472,225,247,9053,40,50,39,467,112,86.67,8.47,23.98
2023-05,WH_CHN_01,354,305,20.449152542372882,434,207,227,8767,56,68,-9,467,112,86.16,12.9,23.98
2023-05,WH_DEL_01,321,268,19.42367601246106,421,198,223,8168,56,67,-37,467,112,83.49,13.3,23.98
2023-05,WH_MUM_01,378,310,19.896825396825395,435,203,232,8665,58,70,-54,467,112,82.01,13.33,23.98
2023-05,WH_NAG_01,365,318,19.265753424657536,457,226,231,9200,35,45,17,467,112,87.12,7.66,23.98
2023-05,WH_PUN_01,350,300,21.257142857142856,406,202,204,8130,44,53,21,467,112,85.71,10.84,23.98
2023-06,WH_BLR_01,350,299,19.542857142857144,416,207,209,7814,40,54,15,410,80,85.43,9.62,19.51
2023-06,WH_CHN_01,359,301,21.091922005571032,403,205,198,8016,45,56,-33,410,80,83.84,11.17,19.51
2023-06,WH_DEL_01,352,302,20.90909090909091,365,187,178,7135,43,53,54,410,80,85.8,11.78,19.51
2023-06,WH_MUM_01,329,272,19.73860182370821,436,226,210,8985,43,59,-18,410,80,82.67,9.86,19.51
2023-06,WH_NAG_01,328,286,19.679878048780488,409,208,201,7743,47,57,-13,410,80,87.2,11.49,19.51
2023-06,WH_PUN_01,351,305,20.34188034188034,409,190,219,8325,36,46,16,410,80,86.89,8.8,19.51
2023-07,WH_BLR_01,387,323,19.746770025839794,437,214,223,8456,52,68,-100,428,103,83.46,11.9,24.07
2023-07,WH_CHN_01,366,309,21.439890710382514,409,193,216,8073,36,41,-29,428,103,84.43,8.8,24.07
2023-07,WH_DEL_01,344,291,20.1453488372093,422,196,226,8226,32,43,-2,428,103,84.59,7.58,24.07
2023-07,WH_MUM_01,328,281,21.298780487804876,416,206,210,8428,46,54,-12,428,103,85.67,11.06,24.07
2023-07,WH_NAG_01,357,302,20.00280112044818,415,187,228,8266,43,59,-118,428,103,84.59,10.36,24.07
2023-07,WH_PUN_01,344,299,20.040697674418606,377,171,206,7331,29,37,-9,428,103,86.92,7.69,24.07
2023-08,WH_BLR_01,363,312,19.429752066115704,446,220,226,8634,53,61,6,432,87,85.95,11.88,20.14
2023-08,WH_CHN_01,384,329,20.984375,417,207,210,8384,35,45,4,432,87,85.68,8.39,20.14
2023-08,WH_DEL_01,372,322,19.997311827956988,426,203,223,8463,35,49,-31,432,87,86.56,8.22,20.14
2023-08,WH_MUM_01,344,293,20.00872093023256,431,205,226,8399,46,55,3,432,87,85.17,10.67,20.14
2023-08,WH_NAG_01,343,292,20.612244897959183,425,204,221,8076,38,49,-60,432,87,85.13,8.94,20.14
2023-08,WH_PUN_01,383,334,20.219321148825067,388,193,195,7507,52,64,-114,432,87,87.21,13.4,20.14
2023-09,WH_BLR_01,346,282,20.90751445086705,428,206,222,8389,42,52,-26,396,87,81.5,9.81,21.97
2023-09,WH_CHN_01,330,282,20.124242424242425,375,185,190,7426,51,65,-47,396,87,85.45,13.6,21.97
2023-09,WH_DEL_01,356,298,19.18258426966292,399,186,213,7704,35,45,-43,396,87,83.71,8.77,21.97
2023-09,WH_MUM_01,339,280,20.59882005899705,430,197,233,8149,36,46,-55,396,87,82.6,8.37,21.97
2023-09,WH_NAG_01,372,324,19.887096774193548,426,194,232,8101,40,52,-30,396,87,87.1,9.39,21.97
2023-09,WH_PUN_01,340,283,19.93235294117647,420,216,204,8220,45,53,0,396,87,83.24,10.71,21.97
2023-10,WH_BLR_01,397,340,20.022670025188916,411,204,207,8125,45,59,-33,458,113,85.64,10.95,24.67
2023-10,WH_CHN_01,342,293,20.476608187134502,411,180,231,7910,49,64,-29,458,113,85.67,11.92,24.67
2023-10,WH_DEL_01,383,323,20.618798955613578,419,194,225,8248,49,55,-43,458,113,84.33,11.69,24.67
2023-10,WH_MUM_01,344,287,19.0203488372093,384,201,183,7557,42,49,-56,458,113,83.43,10.94,24.67
2023-10,WH_NAG_01,349,290,19.76790830945559,428,197,231,8494,47,57,-31,458,113,83.09,10.98,24.67
2023-10,WH_PUN_01,333,279,20.366366366366368,406,187,219,7979,33,37,-35,458,113,83.78,8.13,24.67
2023-11,WH_BLR_01,353,283,20.18413597733711,371,177,194,7304,47,54,-39,441,81,80.17,12.67,18.37
2023-11,WH_CHN_01,313,264,19.511182108626198,393,189,204,7802,34,51,6,441,81,84.35,8.65,18.37
2023-11,WH_DEL_01,352,292,20.085227272727273,449,198,251,8760,34,45,2,441,81,82.95,7.57,18.37
2023-11,WH_MUM_01,348,304,20.014367816091955,388,173,215,7603,39,50,2,441,81,87.36,10.05,18.37
2023-11,WH_NAG_01,358,308,20.44413407821229,389,207,182,7604,47,56,26,441,81,86.03,12.08,18.37
2023-11,WH_PUN_01,358,312,20.42737430167598,397,196,201,7799,43,56,15,441,81,87.15,10.83,18.37
2023-12,WH_BLR_01,366,313,20.401639344262296,451,225,226,8636,52,63,17,440,106,85.52,11.53,24.09
2023-12,WH_CHN_01,364,312,20.167582417582416,383,186,197,7444,41,51,1,440,106,85.71,10.7,24.09
2023-12,WH_DEL_01,374,316,20.63903743315508,445,221,224,8830,32,47,43,440,106,84.49,7.19,24.09
2023-12,WH_MUM_01,376,315,20.835106382978722,491,217,274,9654,54,66,1,440,106,83.78,11.0,24.09
2023-12,WH_NAG_01,367,315,20.049046321525886,436,211,225,8218,42,55,-56,440,106,85.83,9.63,24.09
2023-12,WH_PUN_01,369,321,20.66937669376694,442,225,217,8607,49,59,-16,440,106,86.99,11.09,24.09
2024-01,WH_BLR_01,344,299,20.308139534883722,418,188,230,8428,41,49,33,401,87,86.92,9.81,21.7
2024-01,WH_CHN_01,341,287,20.607038123167154,392,191,201,7886,34,42,-25,401,87,84.16,8.67,21.7
2024-01,WH_DEL_01,319,265,20.357366771159874,437,229,208,8629,43,53,75,401,87,83.07,9.84,21.7
2024-01,WH_MUM_01,369,310,19.504065040650406,384,177,207,7892,38,45,-70,401,87,84.01,9.9,21.7
2024-01,WH_NAG_01,376,316,19.361702127659573,397,181,216,7920,41,51,-46,401,87,84.04,10.33,21.7
2024-01,WH_PUN_01,359,298,20.384401114206128,387,187,200,7476,43,47,-5,401,87,83.01,11.11,21.7
2024-02,WH_BLR_01,380,323,19.99473684210526,400,205,195,7479,43,52,12,365,88,85.0,10.75,24.11
2024-02,WH_CHN_01,304,256,19.17105263157895,384,174,210,7540,34,45,-22,365,88,84.21,8.85,24.11
2024-02,WH_DEL_01,292,252,19.921232876712327,450,204,246,8640,44,55,-37,365,88,86.3,9.78,24.11
2024-02,WH_MUM_01,338,290,20.61242603550296,413,202,211,8196,45,65,-25,365,88,85.8,10.9,24.11
2024-02,WH_NAG_01,316,259,18.617088607594937,402,180,222,7914,42,56,30,365,88,81.96,10.45,24.11
2024-02,WH_PUN_01,301,257,20.45514950166113,353,170,183,6729,39,49,-26,365,88,85.38,11.05,24.11
2024-03,WH_BLR_01,354,292,19.742937853107346,389,188,201,7531,49,59,-54,475,103,82.49,12.6,21.68
2024-03,WH_CHN_01,351,298,19.4017094017094,442,205,237,8686,47,57,-97,475,103,84.9,10.63,21.68
2024-03,WH_DEL_01,355,295,20.169014084507044,440,197,243,8774,41,50,-118,475,103,83.1,9.32,21.68
2024-03,WH_MUM_01,355,304,20.222535211267605,412,183,229,8246,36,47,-31,475,103,85.63,8.74,21.68
2024-03,WH_NAG_01,325,272,21.052307692307693,396,173,223,7490,44,53,12,475,103,83.69,11.11,21.68
2024-03,WH_PUN_01,357,302,20.41736694677871,399,176,223,7685,35,45,-30,475,103,84.59,8.77,21.68
2024-04,WH_BLR_01,354,296,20.268361581920903,421,203,218,8602,37,48,-60,421,84,83.62,8.79,19.95
2024-04,WH_CHN_01,353,309,20.291784702549574,389,171,218,7702,38,50,24,421,84,87.54,9.77,19.95
2024-04,WH_DEL_01,357,296,20.66386554621849,411,211,200,7971,42,49,-18,421,84,82.91,10.22,19.95
